,Salary,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
0,420000,2012-06-01,present,senior quality engineer,Bangalore,f,1990-02-19,84.3,StateBoard,2007,95.8,StateBoard,2,B.Tech/B.E.,CS,78.0,1141,0,Andhra Pradesh,2011,515,585,525,0.635978756456794,445,-1,-1,-1,-1,-1,-1,0.9737,0.8128,0.5269,1.3549,-0.4455
1,500000,2013-09-01,present,assistant manager,Indore,m,1989-10-04,85.4,CBSE,2007,85.0,CBSE,2,B.Tech/B.E.,EC,70.06,5807,0,Madhya Pradesh,2012,695,610,780,0.960603251997053,-1,466,-1,-1,-1,-1,-1,-0.7335,0.3789,1.2396,-0.1076,0.8637
2,325000,2014-06-01,present,systems engineer,Chennai,f,1992-08-03,85.0,CBSE,2010,68.2,CBSE,2,B.Tech/B.E.,IT,70.0,64,0,Uttar Pradesh,2014,615,545,370,0.450876584483451,395,-1,-1,-1,-1,-1,-1,0.2718,1.7109,0.1637,-0.8682,0.6721
3,1100000,2011-07-01,present,senior software engineer,Gurgaon,m,1989-12-05,85.6,CBSE,2007,83.6,CBSE,1,B.Tech/B.E.,CS,74.64,6920,1,Delhi,2011,635,585,625,0.974396112538398,615,-1,-1,-1,-1,-1,-1,0.0464,0.3448,-0.344,-0.4078,-0.9194
4,200000,2014-03-01,2015-03-01 00:00:00,get,Manesar,m,1991-02-27,78.0,CBSE,2008,76.8,CBSE,2,B.Tech/B.E.,EC,73.9,11368,0,Uttar Pradesh,2012,545,625,465,0.124502074009537,-1,233,-1,-1,-1,-1,-1,-0.880999999999999,-0.2793,-1.0697,0.0916299999999999,-0.1295
5,300000,2014-06-01,present,system engineer,Hyderabad,m,1992-07-02,89.92,StateBoard,2010,87.0,StateBoard,2,B.Tech/B.E.,EC,76.32,5086,0,Karnataka,2014,560,555,620,-1.0,645,-1,407,-1,-1,-1,-1,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608
6,300000,2014-08-01,2015-05-01 00:00:00,java software engineer,Bangalore,m,1993-02-01,86.08,StateBoard,2010,67.5,StateBoard,2,B.Tech/B.E.,CS,72.98,314,1,Karnataka,2014,590,435,380,0.356536487724475,405,-1,346,-1,-1,-1,-1,1.7081,-0.1054,-1.0379,-2.0092,-1.0872
7,400000,2014-07-01,2015-07-01 00:00:00,mechanical engineer,Bangalore,m,1992-05-27,92.0,CBSE,2010,91.0,CBSE,1,B.Tech/B.E.,ME,8.58,1757,0,Tamil Nadu,2016,545,555,590,0.829584599793067,-1,-1,-1,469,-1,-1,-1,-0.0154,1.2114,0.01,0.1459,1.247
8,600000,2013-07-01,present,electrical engineer,Noida,m,1991-09-17,90.0,CBSE,2009,91.2,CBSE,1,B.Tech/B.E.,EL,85.03,13,1,Delhi,2013,615,670,530,0.694479327708463,735,366,-1,-1,-1,-1,-1,-0.159,0.5454,-0.6048,-0.7415,-0.2859
9,230000,2014-07-01,present,project engineer,Kolkata,m,1993-06-13,77.0,CBSE,2010,72.2,CBSE,2,B.Tech/B.E.,EC,78.0,8640,1,West Bengal,2014,605,565,545,0.493596387301038,385,324,-1,-1,-1,-1,-1,-1.308,0.5454,-0.9122,0.9066,0.0973
10,600000,2011-04-01,2015-04-01 00:00:00,senior php developer,Bangalore,m,1989-06-24,88.6,StateBoard,2006,83.7,StateBoard,2,B.Tech/B.E.,CS,74.9,403,0,Madhya Pradesh,2010,565,455,565,0.765673581234011,485,-1,-1,-1,-1,-1,-1,0.0464,0.8128,0.0914,0.1798,0.0284
11,450000,2011-08-01,2014-10-01 00:00:00,senior systems engineer,Pune,m,1990-02-10,81.0,CBSE,2007,86.0,CBSE,1,B.Tech/B.E.,IT,72.29,4441,0,Madhya Pradesh,2011,495,605,715,0.968237495890543,605,-1,-1,-1,-1,-1,-1,-2.272,1.1248,0.8171,-0.4078,-0.4455
